scenario,target,model,log_loss,brier,auc,event_rate,arrivals,events,pr_auc,ece_10,top_decile_precision,top_decile_lift,top1_capture,top5_capture,top10_capture,top20_capture,top30_capture
scope_30airport_rolling,long_arrival_delay,RAEG-Rank,0.2524712036276521,0.06914859016644712,0.7530429185702286,0.08585389885657982,3316716.0,284753.0,0.3016635437917848,0.0011848838374759452,0.3080212771156964,3.5877377873106306,0.08681910287161154,0.2783394731574382,0.3983768388743929,0.5534305169743602,0.6614118200686209
scope_30airport_rolling,severe_arrival_delay,CQS-Rank,0.1399875172819683,0.033122575577952465,0.6988023107860187,0.03675714170281688,3316716.0,121913.0,0.12866332559302435,0.002403873915465687,0.08875110347001175,2.414526792849356,0.15381460549736287,0.3605439944878725,0.4873721424294374,0.6412933813457138,0.7436040455078622
scope_30airport_rolling,severe_arrival_delay,Graph-temporal evidence,0.1399875172819683,0.033122575577952465,0.7374182724781507,0.03675714170281688,3316716.0,121913.0,0.1584010422433513,0.002403873915465687,0.13602448219834998,3.700627303888696,0.11145653047665138,0.3124113097044614,0.4243846021343089,0.5650586893932559,0.665696029135531
scope_30airport_rolling,severe_arrival_delay,RAEG-Rank,0.140012764830764,0.033116615625852386,0.7381159322387727,0.03675714170281688,3316716.0,121913.0,0.1580777191682116,0.0033192720424079954,0.13641770932576758,3.71132528281744,0.1123588132520732,0.3137811390089654,0.42516384634944593,0.5651079048173697,0.6647199232239384
cross_year_2024_to_2025,cancellation,CQS-Rank,0.0610393894815734,0.014152728419260626,0.8731854902216065,0.017061378874285146,2124037.0,36239.0,0.2373819904858555,0.0005311168680835718,0.08947063720167034,5.244044919283763,0.3072104638648969,0.590772372306079,0.7207152515246006,0.8391511907061453,0.8967410800518778
cross_year_2024_to_2025,cancellation,Graph-temporal evidence,0.0610393894815734,0.014152728419260626,0.8891210417133976,0.017061378874285146,2124037.0,36239.0,0.2787064179259528,0.0005311168680835718,0.1233602027064542,7.230377076520016,0.25191092469439,0.5311404840089406,0.6744115455724495,0.8084108281133585,0.8727337950826458
cross_year_2024_to_2025,cancellation,RAEG-Rank,0.06102444575694658,0.014129366410022623,0.8892036066922724,0.017061378874285146,2124037.0,36239.0,0.2743281380416958,0.0010846900188425043,0.1231942154386071,7.220648245745543,0.25312508623306385,0.5332652667016198,0.6741907889290544,0.8083280443720853,0.8724302546979773
cross_year_2024_to_2025,long_arrival_delay,CQS-Rank,0.2522462803522215,0.06913894723056185,0.7201817207773659,0.0878525185766538,2124037.0,186602.0,0.26865784072357696,0.0021592504776786468,0.24775835496198514,2.8201622329792286,0.12340703743796959,0.3256395965745276,0.46347841930954653,0.6273941329674924,0.732425161573831
cross_year_2024_to_2025,long_arrival_delay,Graph-temporal evidence,0.2522462803522215,0.06913894723056185,0.7600391407997047,0.0878525185766538,2124037.0,186602.0,0.33033226981581026,0.0021592504776786468,0.3489828291542593,3.972371365196115,0.07802703079281037,0.27421463864267265,0.40321111242108876,0.5526950407819852,0.6536853838651248
cross_year_2024_to_2025,long_arrival_delay,RAEG-Rank,0.25205353964946703,0.06909199814152839,0.7606484281727633,0.0878525185766538,2124037.0,186602.0,0.3269948313724376,0.0018222166565438614,0.3490639444943633,3.973294677827536,0.07778587582126666,0.27399491966859946,0.4038809873420435,0.5532952487111606,0.6539694108316095
cross_year_2024_to_2025,severe_arrival_delay,CQS-Rank,0.14395724551688863,0.034623090592476466,0.7174586029689098,0.039169750809425634,2124037.0,83198.0,0.15055366490599972,0.0017142981438020267,0.1146689367823358,2.927487012624609,0.146674198899012,0.36182360152888293,0.49056467703550566,0.6434048895406139,0.7456188850693526
cross_year_2024_to_2025,severe_arrival_delay,Graph-temporal evidence,0.14395724551688863,0.034623090592476466,0.7493667896755951,0.039169750809425634,2124037.0,83198.0,0.18260509365156088,0.0017142981438020267,0.16515027694542814,4.216270809302343,0.09857208105964085,0.32151013245510707,0.43722204860693764,0.5708430491117575,0.6647154979687012
cross_year_2024_to_2025,severe_arrival_delay,RAEG-Rank,0.1439003191472507,0.03460970762605228,0.7499599805848234,0.039169750809425634,2124037.0,83198.0,0.1799077490117822,0.0014202436815011902,0.16554866817956496,4.226441699489395,0.09895670569004063,0.3214139762975072,0.4375345561191375,0.5701098584100579,0.6640183658261016
