scenario,target,n_bins,radius_mode,max_gap,mean_gap,queue_overlap_with_cqs,queue_overlap_with_raeg,robust_events,reference_events,robust_event_gain_vs_raeg,robust_capture_gain_vs_raeg
primary_10airport_rolling,cancellation,10,global_max_gap,0.013233415254750802,0.0015445274901699116,0.8786050895381715,0.8486333647502357,18946.0,18042.0,904.0,0.033788076994954216
primary_10airport_rolling,cancellation,20,bin_abs_gap,0.023527604686536918,0.001568436663768994,0.9739868049010367,0.7155513666352498,19107.0,18042.0,1065.0,0.03980564380489628
primary_10airport_rolling,cancellation,20,bin_abs_gap_x1_5,0.023527604686536918,0.001568436663768994,0.9538171536286523,0.6978322337417531,19066.0,18042.0,1024.0,0.03827321995888619
primary_10airport_rolling,cancellation,20,bin_abs_gap_x2,0.023527604686536918,0.001568436663768994,0.9234684260131951,0.6716305372290292,18863.0,18042.0,821.0,0.03068585311156793
primary_10airport_rolling,cancellation,20,global_max_gap,0.023527604686536918,0.001568436663768994,0.8033930254476909,0.9151743638077285,18590.0,18042.0,548.0,0.020482152868622688
scope_30airport_rolling,long_arrival_delay,5,bin_abs_gap,0.0024514315305596557,0.0011491245259231911,0.9956563398275311,0.6267646119450655,132958.0,113457.0,19501.0,0.06848391412908732
scope_30airport_rolling,long_arrival_delay,5,bin_abs_gap_x1_5,0.0024514315305596557,0.0011491245259231911,0.9936122644522517,0.6267646119450655,133009.0,113457.0,19552.0,0.06866301671975361
scope_30airport_rolling,long_arrival_delay,5,bin_abs_gap_x2,0.0024514315305596557,0.0011491245259231911,0.9918875758543596,0.6270839987224529,132998.0,113457.0,19541.0,0.06862438674921774
scope_30airport_rolling,long_arrival_delay,5,global_max_gap,0.0024514315305596557,0.0011491245259231911,0.992590226764612,0.6309166400511019,132971.0,113457.0,19514.0,0.06852956773062971
scope_30airport_rolling,long_arrival_delay,10,bin_abs_gap,0.0032348889914428774,0.0011609473465864207,0.9936761418077291,0.6281060364100927,132992.0,113457.0,19535.0,0.06860331585619818
