target,horizon,model,model_label,band,selected_hours,selected_arrivals,selected_events,workload_share,event_capture_or_leakage,event_rate,lift_vs_panel
long_arrival_delay,1,online_baseline,Online context,top_10_review,7052.0,191116.0,40492.0,0.10000141805754477,0.21513351539172662,0.2118713242219385,2.382991251086132
long_arrival_delay,1,online_baseline,Online context,bottom_50_release,35260.0,1108138.0,56178.0,0.5000070902877238,0.29847304721121254,0.05069585196067638,0.5701940653474253
long_arrival_delay,1,online_fixed_decay,Fixed decay,top_10_review,7052.0,198908.0,59889.0,0.10000141805754477,0.31818954616455386,0.3010889456432119,3.3864531970118694
long_arrival_delay,1,online_fixed_decay,Fixed decay,bottom_50_release,35260.0,1111711.0,49658.0,0.5000070902877238,0.26383236459849746,0.044668083701609504,0.5023976371253389
long_arrival_delay,1,online_relation_DCSI,Relation-DCSI,top_10_review,7052.0,201240.0,61268.0,0.10000141805754477,0.3255161567969057,0.30445239515006955,3.4242830957853143
long_arrival_delay,1,online_relation_DCSI,Relation-DCSI,bottom_50_release,35260.0,1112587.0,49155.0,0.5000070902877238,0.26115993156871287,0.04418081462393503,0.4969171505456319
long_arrival_delay,3,online_DCSI,Online DCSI,top_10_review,6491.0,181351.0,52721.0,0.0999984594290644,0.2891483667156615,0.2907124857320886,3.16051213798207
long_arrival_delay,3,online_DCSI,Online DCSI,bottom_50_release,32456.0,1046550.0,51230.0,0.500007702854678,0.2809709760217625,0.048951316229516026,0.5321795131157905
long_arrival_delay,3,online_baseline,Online context,top_10_review,6491.0,173788.0,36877.0,0.0999984594290644,0.20225193602878266,0.212195318433954,2.306904286703145
long_arrival_delay,3,online_baseline,Online context,bottom_50_release,32456.0,1055072.0,56924.0,0.500007702854678,0.31219972358115966,0.05395271602317188,0.5865527703047423
long_arrival_delay,3,online_fixed_decay,Fixed decay,top_10_review,6491.0,180453.0,53328.0,0.0999984594290644,0.292477458701709,0.29552293394956025,3.2128094445190327
long_arrival_delay,3,online_fixed_decay,Fixed decay,bottom_50_release,32456.0,1044076.0,51112.0,0.500007702854678,0.28032380492727554,0.04895429068381995,0.5322118502165096
long_arrival_delay,3,online_relation_DCSI,Relation-DCSI,top_10_review,6491.0,178109.0,54782.0,0.0999984594290644,0.3004519228659807,0.3075756980276123,3.343842368918513
long_arrival_delay,3,online_relation_DCSI,Relation-DCSI,bottom_50_release,32456.0,1042875.0,50620.0,0.500007702854678,0.27762543053331284,0.04853889488193695,0.5276958299616111
long_arrival_delay,6,online_DCSI,Online DCSI,top_10_review,6228.0,168355.0,44642.0,0.09999518327633544,0.2632596978310354,0.2651658697395385,2.684187153540324
long_arrival_delay,6,online_DCSI,Online DCSI,bottom_50_release,31142.0,824475.0,44927.0,0.5000080278727743,0.2649403800110866,0.0544916461990964,0.5516010670851035
long_arrival_delay,6,online_baseline,Online context,top_10_review,6228.0,164977.0,34189.0,0.09999518327633544,0.20161699317112294,0.20723494790182875,2.097771426877357
long_arrival_delay,6,online_baseline,Online context,bottom_50_release,31142.0,837196.0,49103.0,0.5000080278727743,0.28956679679667874,0.0586517374664953,0.5937123069233066
long_arrival_delay,6,online_fixed_decay,Fixed decay,top_10_review,6228.0,168013.0,44694.0,0.09999518327633544,0.2635663486147641,0.26601512978162406,2.692783934480572
long_arrival_delay,6,online_fixed_decay,Fixed decay,bottom_50_release,31142.0,823612.0,44969.0,0.5000080278727743,0.26518805949025204,0.05459973871191775,0.5526952521496971
long_arrival_delay,6,online_relation_DCSI,Relation-DCSI,top_10_review,6228.0,163837.0,45197.0,0.09999518327633544,0.266532605234293,0.27586564695398474,2.7924974899081634
long_arrival_delay,6,online_relation_DCSI,Relation-DCSI,bottom_50_release,31142.0,818693.0,44626.0,0.5000080278727743,0.2631653437437343,0.05450883298134954,0.5517750432464393
