log_loss,brier,auc,event_rate,arrivals,events,target,model,fold_month,rho
0.08785670966391852,0.018319502924789174,0.7110794412512877,0.01906098658552265,186664,3558,cancellation,fixed_window,6,
0.08407613070018576,0.017991687314296626,0.7776192893107429,0.01906098658552265,186664,3558,cancellation,dynamic_state,6,0.95
0.36112104101323045,0.1065609742684699,0.6936085593925927,0.12670740660317853,193422,24508,long_arrival_delay,baseline,7,
0.34521625037196263,0.10150509370789768,0.7289919849040184,0.12670740660317853,193422,24508,long_arrival_delay,fixed_window,7,
0.3412177122612242,0.10009746693744098,0.732818961235401,0.12670740660317853,193422,24508,long_arrival_delay,dynamic_state,7,0.95
0.13308557898826257,0.0275031230430304,0.6647141755324605,0.0283111538501308,193422,5476,cancellation,baseline,7,
0.12044947245252036,0.026041158508443452,0.7320102933417216,0.0283111538501308,193422,5476,cancellation,fixed_window,7,
0.11728742735173835,0.026029318257627238,0.7696942782984065,0.0283111538501308,193422,5476,cancellation,dynamic_state,7,0.95
0.2912029487435906,0.08055015739202678,0.6731516766785026,0.09135880377350418,186988,17083,long_arrival_delay,baseline,8,
0.2783752869796778,0.07726717824432203,0.7169663318212526,0.09135880377350418,186988,17083,long_arrival_delay,fixed_window,8,
0.27327107736037753,0.07560634831721992,0.7229416847902183,0.09135880377350418,186988,17083,long_arrival_delay,dynamic_state,8,0.95
0.07475806462207232,0.014677164979998433,0.6791590927138514,0.015059789933043832,186988,2816,cancellation,baseline,8,
0.06713115440264926,0.013917592515193984,0.7618075341935799,0.015059789933043832,186988,2816,cancellation,fixed_window,8,
0.06437010032350028,0.01362691084509585,0.7870554172865583,0.015059789933043832,186988,2816,cancellation,dynamic_state,8,0.95
0.2205866761882898,0.055215921007620426,0.672543120654463,0.058737093378072536,177622,10433,long_arrival_delay,baseline,9,
0.2089036095432594,0.053087884178033076,0.7104757331852368,0.058737093378072536,177622,10433,long_arrival_delay,fixed_window,9,
0.20516927763325038,0.052052925340391756,0.7164290928008483,0.058737093378072536,177622,10433,long_arrival_delay,dynamic_state,9,0.95
0.03988749033369082,0.00623469612663941,0.7324083378707156,0.006159146952517143,177622,1094,cancellation,baseline,9,
0.032488934855051374,0.0054567040469037245,0.8146802503201713,0.006159146952517143,177622,1094,cancellation,fixed_window,9,
0.03088014103539024,0.005371855145902364,0.8260995200164837,0.006159146952517143,177622,1094,cancellation,dynamic_state,9,0.95
0.23403413573709125,0.06046389750228231,0.6766588546755569,0.06673365771102178,189080,12618,long_arrival_delay,baseline,10,
0.22493732573032485,0.058547456457992524,0.7090442500969717,0.06673365771102178,189080,12618,long_arrival_delay,fixed_window,10,
0.22285394818386198,0.0579734167993918,0.7165199271694508,0.06673365771102178,189080,12618,long_arrival_delay,dynamic_state,10,0.95
0.04175798235857291,0.006412456796641677,0.7962907219662455,0.006256610958324519,189080,1183,cancellation,baseline,10,
0.03660788224574791,0.006021267404444669,0.8177072098784935,0.006256610958324519,189080,1183,cancellation,fixed_window,10,
0.03548280793848622,0.005916290699211181,0.8169697777488216,0.006256610958324519,189080,1183,cancellation,dynamic_state,10,0.95
0.2744094109668879,0.0746857617580421,0.6812063084759403,0.0842816683097508,175483,14790,long_arrival_delay,baseline,11,
0.2537699282625816,0.07016452131038588,0.7522965189309133,0.0842816683097508,175483,14790,long_arrival_delay,fixed_window,11,
0.24820802477205017,0.06854328766223745,0.7602328781787077,0.0842816683097508,175483,14790,long_arrival_delay,dynamic_state,11,0.95
0.13276635324384053,0.02854629092033652,0.6948315480467672,0.029963016360559144,175483,5258,cancellation,baseline,11,
0.11877993587880158,0.026120685109376426,0.7332104360790244,0.029963016360559144,175483,5258,cancellation,fixed_window,11,
0.11254536362980239,0.025207531020622714,0.76560746100425,0.029963016360559144,175483,5258,cancellation,dynamic_state,11,0.95
0.3382626920914724,0.0940110340455944,0.6497369496647576,0.10667611001500818,177903,18978,long_arrival_delay,baseline,12,
0.3218549805876582,0.09020968167101844,0.6988620349804207,0.10667611001500818,177903,18978,long_arrival_delay,fixed_window,12,
0.31658927328066877,0.08846704094093863,0.7066702577533911,0.10667611001500818,177903,18978,long_arrival_delay,dynamic_state,12,0.95
0.09076558254977894,0.018548093308581166,0.6933209733649225,0.019263306408548477,177903,3427,cancellation,baseline,12,
0.08824393557573015,0.018502848516476666,0.7173663933739104,0.019263306408548477,177903,3427,cancellation,fixed_window,12,
0.08794691425414643,0.018500084167732304,0.7205559981534404,0.019263306408548477,177903,3427,cancellation,dynamic_state,12,0.95
0.08378825529293212,0.01672785124289871,0.6700397246641323,0.01721172962689899,2145746,36932,cancellation,baseline,all,fold_selected
0.07487974160485127,0.01590052238488062,0.7689053989519126,0.01721172962689899,2145746,36932,cancellation,dynamic_state,all,fold_selected
0.07680544832840017,0.01601339701676195,0.7396994221834268,0.01721172962689899,2145746,36932,cancellation,fixed_window,all,fold_selected
0.28375614675343463,0.07774001462566853,0.6701943864277274,0.08828631161376976,2145746,189440,long_arrival_delay,baseline,all,fold_selected
0.26492859248278666,0.07273325799889652,0.726177596708241,0.08828631161376976,2145746,189440,long_arrival_delay,dynamic_state,all,fold_selected
0.26884021947438547,0.07389095101301126,0.7177401850667664,0.08828631161376976,2145746,189440,long_arrival_delay,fixed_window,all,fold_selected
