event_id,airport,tmi_type,constraint_type,state_peak_hour,delay_peak_hour,cancel_peak_hour,state_peak,delay_peak,cancel_peak,arrivals
126,DFW,GS,other constraint,2,0,4,3.872776250534396,0.6290322580645161,0.6666666666666666,805
127,DFW,GS,other constraint,2,0,4,3.872776250534396,0.6290322580645161,0.6666666666666666,805
128,DFW,GS,weather constraint,4,2,6,3.872776250534396,0.6290322580645161,0.6666666666666666,807
129,EWR,GDP,weather constraint,-6,5,1,0.13292182434398017,0.2,0.05,239
130,SFO,GS,weather constraint,1,5,8,1.3800000000004196,0.15,0.0571428571428571,195
131,SFO,GDP,weather constraint,0,4,7,1.3800000000004196,0.15,0.0571428571428571,194
132,SFO,GDP,weather constraint,14,2,1,10.670177363638555,0.375,0.0277777777777777,294
133,SFO,GDP,weather constraint,15,12,2,14.140595904331967,0.8181818181818182,0.1,364
134,SFO,GDP,weather constraint,15,12,2,14.140595904331967,0.8181818181818182,0.1,364
135,LGA,GS,weather constraint,1,4,-6,2.0041451776348596,0.1363636363636363,0.0,414
136,SFO,GDP,weather constraint,15,10,12,15.326365428639415,0.7142857142857143,0.217391304347826,361
137,LAX,GS,weather constraint,3,2,2,2.6453687500000003,0.2391304347826087,0.0652173913043478,514
138,LAX,GS,weather constraint,1,0,0,2.6453687500000003,0.2391304347826087,0.0652173913043478,508
139,LGA,GS,weather constraint,1,4,-6,2.0041451776348596,0.1363636363636363,0.0,414
140,SFO,GDP,weather constraint,10,8,16,14.108088893121282,0.5,0.2,304
141,DEN,GS,weather constraint,2,13,1,1.831810375782895,0.1538461538461538,0.0238095238095238,726
142,DEN,GS,weather constraint,1,12,0,1.831810375782895,0.1538461538461538,0.0238095238095238,726
143,SFO,GS,weather constraint,4,2,10,14.108088893121282,0.5,0.2,315
144,SFO,GS,weather constraint,5,0,2,15.326365428639415,0.7142857142857143,0.217391304347826,368
145,SFO,GS,weather constraint,2,0,8,14.108088893121282,0.5,0.2,316
146,DEN,GDP,weather constraint,6,4,18,5.802369065272003,0.4814814814814814,0.0444444444444444,796
147,EWR,GS,other constraint,17,5,7,11.976365169322692,0.8823529411764706,0.0714285714285714,342
148,LGA,GDP,weather constraint,13,6,-1,10.260339869604815,0.2962962962962963,0.4117647058823529,391
149,EWR,GDP,weather constraint,16,4,6,11.976365169322692,0.8823529411764706,0.0714285714285714,337
150,SFO,GS,weather constraint,16,10,13,12.213099251965913,0.8095238095238095,0.15,362
151,SFO,GDP,weather constraint,15,9,12,12.213099251965913,0.8095238095238095,0.15,362
152,LGA,GS,weather constraint,9,2,-5,10.260339869604815,0.2962962962962963,0.4117647058823529,391
153,JFK,GDP,demand constraint,4,10,-2,4.5077145860315575,1.0,0.1111111111111111,288
154,EWR,GS,weather constraint,8,-4,-2,11.976365169322692,0.8823529411764706,0.0714285714285714,350
155,EWR,GDP,weather constraint,16,4,6,11.976365169322692,0.8823529411764706,0.0714285714285714,337
156,SFO,GS,weather constraint,8,2,5,12.213099251965913,0.8095238095238095,0.15,406
