log_loss,brier,auc,event_rate,arrivals,events,target,model,fold_month,rho,horizon
0.111335908286508,0.02548605796803958,0.7909146620413194,0.028400771118859757,189854,5392,cancellation,online_relation_DCSI,7,0.95,1
0.29279661011258745,0.08110749694035989,0.6725559162663076,0.0921518959819099,183968,16953,long_arrival_delay,online_baseline,8,,1
0.28731790800098456,0.07953861541687507,0.6876574081210793,0.0921518959819099,183968,16953,long_arrival_delay,known_start_window,8,,1
0.28013009455011617,0.07793474668920576,0.714295696229529,0.0921518959819099,183968,16953,long_arrival_delay,online_fixed_decay,8,,1
0.2813425802798303,0.07830144751076934,0.7119007791147046,0.0921518959819099,183968,16953,long_arrival_delay,online_DCSI,8,0.95,1
0.27855366789465397,0.07730096875667938,0.7151506066884007,0.0921518959819099,183968,16953,long_arrival_delay,online_relation_DCSI,8,0.95,1
0.0748048543148592,0.014742730670420293,0.6833583540826581,0.015143938076187163,183968,2786,cancellation,online_baseline,8,,1
0.0708728431010086,0.01438265925440487,0.7308028361228761,0.015143938076187163,183968,2786,cancellation,known_start_window,8,,1
0.06372362787168694,0.01354842342625123,0.7929044536236455,0.015143938076187163,183968,2786,cancellation,online_fixed_decay,8,,1
0.06410676574013276,0.013606720305339668,0.7910984023766784,0.015143938076187163,183968,2786,cancellation,online_DCSI,8,0.95,1
0.06397854108122078,0.013622999922119244,0.7962061908962604,0.015143938076187163,183968,2786,cancellation,online_relation_DCSI,8,0.95,1
0.22222637043727797,0.05577968337872591,0.6716192980001015,0.0592266442803543,175107,10371,long_arrival_delay,online_baseline,9,,1
0.21729661803813494,0.05458666199707675,0.6833221311928465,0.0592266442803543,175107,10371,long_arrival_delay,known_start_window,9,,1
0.21061084672755256,0.05361355131739838,0.7080808529160605,0.0592266442803543,175107,10371,long_arrival_delay,online_fixed_decay,9,,1
0.21100556513241306,0.05375513927770528,0.7058022077412083,0.0592266442803543,175107,10371,long_arrival_delay,online_DCSI,9,0.95,1
0.2083708512834135,0.05300358978729246,0.7098017709639057,0.0592266442803543,175107,10371,long_arrival_delay,online_relation_DCSI,9,0.95,1
0.04027420303853998,0.006392100454246522,0.744484938853702,0.006184789871335812,175107,1083,cancellation,online_baseline,9,,1
0.0370629239515192,0.006129939047505373,0.776912991676592,0.006184789871335812,175107,1083,cancellation,known_start_window,9,,1
0.03203407467361213,0.005941498396978732,0.8327585222004169,0.006184789871335812,175107,1083,cancellation,online_fixed_decay,9,,1
0.03227598042792484,0.006018204492698264,0.8318326090087488,0.006184789871335812,175107,1083,cancellation,online_DCSI,9,0.95,1
0.031889447349980685,0.005932369036825286,0.8314054966956935,0.006184789871335812,175107,1083,cancellation,online_relation_DCSI,9,0.95,1
0.23555045928501755,0.06087964586482409,0.6752502517277004,0.06720304663823853,186435,12529,long_arrival_delay,online_baseline,10,,1
0.23305159014001972,0.06047020659450872,0.6869656786328516,0.06720304663823853,186435,12529,long_arrival_delay,known_start_window,10,,1
0.22825511792413014,0.05950883334064518,0.7040558053946863,0.06720304663823853,186435,12529,long_arrival_delay,online_fixed_decay,10,,1
0.22866346932049753,0.05964710542868142,0.7020361761896947,0.06720304663823853,186435,12529,long_arrival_delay,online_DCSI,10,0.95,1
0.22811134293673418,0.05959173594587286,0.7067204859856525,0.06720304663823853,186435,12529,long_arrival_delay,online_relation_DCSI,10,0.95,1
0.042360826001672416,0.006505220289653705,0.7968313390186024,0.00631319226540081,186435,1177,cancellation,online_baseline,10,,1
0.041020957297449576,0.006522311364084814,0.8015071208919939,0.00631319226540081,186435,1177,cancellation,known_start_window,10,,1
0.03628461568928089,0.006287727696287057,0.8147256837608904,0.00631319226540081,186435,1177,cancellation,online_fixed_decay,10,,1
0.036367686841014324,0.006358633329316486,0.8141750176999478,0.00631319226540081,186435,1177,cancellation,online_DCSI,10,0.95,1
0.03662165950732093,0.006323767445224237,0.8093238713049499,0.00631319226540081,186435,1177,cancellation,online_relation_DCSI,10,0.95,1
0.2765124844266868,0.07537705982242146,0.6792110257380378,0.08496539622619728,173247,14720,long_arrival_delay,online_baseline,11,,1
0.2712649928231766,0.07419030546807363,0.6985863285427171,0.08496539622619728,173247,14720,long_arrival_delay,known_start_window,11,,1
0.2573305817507778,0.0710666006967122,0.746648647288447,0.08496539622619728,173247,14720,long_arrival_delay,online_fixed_decay,11,,1
0.25842760613924304,0.07128547714343116,0.742306201491256,0.08496539622619728,173247,14720,long_arrival_delay,online_DCSI,11,0.95,1
0.2548834723320583,0.07035439561760017,0.748875735421973,0.08496539622619728,173247,14720,long_arrival_delay,online_relation_DCSI,11,0.95,1
0.13368338981344804,0.02874632377177952,0.6895714539993538,0.03013039186825746,173247,5220,cancellation,online_baseline,11,,1
0.1315196632736023,0.02826253828808702,0.6943522617818652,0.03013039186825746,173247,5220,cancellation,known_start_window,11,,1
0.117885851316259,0.026510390187683842,0.760837513752978,0.03013039186825746,173247,5220,cancellation,online_fixed_decay,11,,1
0.11823565672924348,0.026656445754197372,0.7625311797066368,0.03013039186825746,173247,5220,cancellation,online_DCSI,11,0.95,1
0.11761569424112166,0.026542668376684626,0.7644269592277486,0.03013039186825746,173247,5220,cancellation,online_relation_DCSI,11,0.95,1
0.33990821897205087,0.09462223921989672,0.6507769849117713,0.10752424834405026,175579,18879,long_arrival_delay,online_baseline,12,,1
0.3366497011188627,0.09400497690050641,0.6615684171183475,0.10752424834405026,175579,18879,long_arrival_delay,known_start_window,12,,1
0.3236313524962729,0.09090597146984115,0.6945605536187144,0.10752424834405026,175579,18879,long_arrival_delay,online_fixed_decay,12,,1
0.32394489082945377,0.09105732699601309,0.6926773818675904,0.10752424834405026,175579,18879,long_arrival_delay,online_DCSI,12,0.95,1
0.3233957770530277,0.090855531966923,0.6975504537292258,0.10752424834405026,175579,18879,long_arrival_delay,online_relation_DCSI,12,0.95,1
0.09121003822883779,0.018700875664548453,0.6924726294858581,0.019404370682143082,175579,3407,cancellation,online_baseline,12,,1
0.09078198156792597,0.01875639849756804,0.6951854067052939,0.019404370682143082,175579,3407,cancellation,known_start_window,12,,1
0.08834701661703531,0.018642018970440308,0.7223042561427624,0.019404370682143082,175579,3407,cancellation,online_fixed_decay,12,,1
0.08871201909648735,0.01868972867258517,0.7209104240037476,0.019404370682143082,175579,3407,cancellation,online_DCSI,12,0.95,1
0.08935914722068976,0.01876255675073804,0.7170699033937169,0.019404370682143082,175579,3407,cancellation,online_relation_DCSI,12,0.95,1
0.08157611888311889,0.016589924324100128,0.6963623623964982,0.017289464012916672,2116954,36601,cancellation,known_start_window,all,,1
0.07419966490830165,0.015905241763384197,0.7812905111889806,0.017289464012916672,2116954,36601,cancellation,online_DCSI,all,fold_selected,1
0.08427090076020448,0.01682932592639456,0.6660945702242823,0.017289464012916672,2116954,36601,cancellation,online_baseline,all,,1
0.07400014281950923,0.015857122383512074,0.7805959252796557,0.017289464012916672,2116954,36601,cancellation,online_fixed_decay,all,,1
0.07398222076075123,0.015862266798962837,0.7835623029971891,0.017289464012916672,2116954,36601,cancellation,online_relation_DCSI,all,fold_selected,1
0.2805100967369593,0.07697248974130089,0.6840979186510895,0.0889098204306754,2116954,188218,long_arrival_delay,known_start_window,all,,1
0.2727699818033311,0.07519646235584601,0.7138019343400879,0.0889098204306754,2116954,188218,long_arrival_delay,online_DCSI,all,fold_selected,1
0.28515430876119413,0.07822261006584896,0.6696236123393711,0.0889098204306754,2116954,188218,long_arrival_delay,online_baseline,all,,1
0.27223248575507913,0.07502692411169315,0.714913282249748,0.0889098204306754,2116954,188218,long_arrival_delay,online_fixed_decay,all,,1
0.27045797085038603,0.07452052591358957,0.7187452518082998,0.0889098204306754,2116954,188218,long_arrival_delay,online_relation_DCSI,all,fold_selected,1
0.2462267965039299,0.06326419133742178,0.6180830143180348,0.0679756943996491,155026,10538,long_arrival_delay,online_baseline,1,,3
0.24352511068784466,0.0629254389965122,0.6301576763343987,0.0679756943996491,155026,10538,long_arrival_delay,known_start_window,1,,3
0.2379525440301913,0.06202962796569273,0.6630716828355739,0.0679756943996491,155026,10538,long_arrival_delay,online_fixed_decay,1,,3
0.23756658760815197,0.06188110948160938,0.6635809620901664,0.0679756943996491,155026,10538,long_arrival_delay,online_DCSI,1,0.95,3
0.2367737048006113,0.0618090802605007,0.6656391106953724,0.0679756943996491,155026,10538,long_arrival_delay,online_relation_DCSI,1,0.95,3
0.14309735592969045,0.031125816351018177,0.6881032163593205,0.03282675164166011,155026,5089,cancellation,online_baseline,1,,3
0.13725668031977584,0.03043120592779411,0.715975695709536,0.03282675164166011,155026,5089,cancellation,known_start_window,1,,3
0.12662771372178652,0.028773971411433775,0.7597605548597786,0.03282675164166011,155026,5089,cancellation,online_fixed_decay,1,,3
0.127252063411076,0.02894182638605304,0.762087668358013,0.03282675164166011,155026,5089,cancellation,online_DCSI,1,0.95,3
0.12725489792138717,0.02876207277772843,0.7632170796335234,0.03282675164166011,155026,5089,cancellation,online_relation_DCSI,1,0.95,3
0.2664234184487041,0.07071366037021133,0.6397154308575973,0.07836854927090095,143259,11227,long_arrival_delay,online_baseline,2,,3
0.2640548210796826,0.07014890311144252,0.6448075495494618,0.07836854927090095,143259,11227,long_arrival_delay,known_start_window,2,,3
0.25888989385347116,0.06887940472510395,0.6631365757881001,0.07836854927090095,143259,11227,long_arrival_delay,online_fixed_decay,2,,3
0.2587171017590978,0.068881640673052,0.665038065880345,0.07836854927090095,143259,11227,long_arrival_delay,online_DCSI,2,0.95,3
0.2579612417952706,0.0686476206441368,0.6660744282159495,0.07836854927090095,143259,11227,long_arrival_delay,online_relation_DCSI,2,0.95,3
0.07306061925038206,0.013763791681775835,0.6636520087018729,0.01372339608680781,143259,1966,cancellation,online_baseline,2,,3
0.07192678937858339,0.013800902221298466,0.6753451909658752,0.01372339608680781,143259,1966,cancellation,known_start_window,2,,3
0.06866384354024811,0.013394507180748217,0.7015361788799318,0.01372339608680781,143259,1966,cancellation,online_fixed_decay,2,,3
0.06879439421642772,0.013423643434345453,0.7025445018154846,0.01372339608680781,143259,1966,cancellation,online_DCSI,2,0.95,3
0.06902298095232105,0.013505398881868365,0.699114028027975,0.01372339608680781,143259,1966,cancellation,online_relation_DCSI,2,0.95,3
0.25388612117301246,0.06703174878328469,0.660209405115003,0.07422269781820344,168210,12485,long_arrival_delay,online_baseline,3,,3
0.25055426084897614,0.06621269097550746,0.6725976188604041,0.07422269781820344,168210,12485,long_arrival_delay,known_start_window,3,,3
0.24691049901881348,0.0655217777201458,0.6901229755044631,0.07422269781820344,168210,12485,long_arrival_delay,online_fixed_decay,3,,3
0.24708207424517206,0.06556150259979147,0.6893670996301678,0.07422269781820344,168210,12485,long_arrival_delay,online_DCSI,3,0.95,3
0.24529935255163215,0.06521259562372843,0.6981789880076351,0.07422269781820344,168210,12485,long_arrival_delay,online_relation_DCSI,3,0.95,3
0.06327392469197887,0.011915580188437762,0.6951532427243804,0.012020688425182807,168210,2022,cancellation,online_baseline,3,,3
0.061516784912723506,0.011758612086309512,0.7069140047962555,0.012020688425182807,168210,2022,cancellation,known_start_window,3,,3
0.05867022606350837,0.011500591526907347,0.7456418007591988,0.012020688425182807,168210,2022,cancellation,online_fixed_decay,3,,3
0.05868354991609332,0.011471920835777872,0.7437561447991986,0.012020688425182807,168210,2022,cancellation,online_DCSI,3,0.95,3
0.058105916932853316,0.011441047515359378,0.7495640089613334,0.012020688425182807,168210,2022,cancellation,online_relation_DCSI,3,0.95,3
0.27289758019475946,0.07359527114680295,0.6609102814719411,0.08228473790199549,163870,13484,long_arrival_delay,online_baseline,4,,3
0.2673633249181588,0.07219239022026562,0.6813166512123852,0.08228473790199549,163870,13484,long_arrival_delay,known_start_window,4,,3
0.2601075601899544,0.07027841583701187,0.7067930439048999,0.08228473790199549,163870,13484,long_arrival_delay,online_fixed_decay,4,,3
0.2603185813343888,0.07038133229151065,0.7069330568867411,0.08228473790199549,163870,13484,long_arrival_delay,online_DCSI,4,0.95,3
0.25786214066526303,0.06970584193161988,0.7119775951376275,0.08228473790199549,163870,13484,long_arrival_delay,online_relation_DCSI,4,0.95,3
0.06054775064541164,0.011459790568601743,0.7214329889831415,0.011606761457252701,163870,1902,cancellation,online_baseline,4,,3
0.05837272249992013,0.01127784291569435,0.7457151153586906,0.011606761457252701,163870,1902,cancellation,known_start_window,4,,3
0.05219442182432111,0.010791571027824567,0.8328154849400741,0.011606761457252701,163870,1902,cancellation,online_fixed_decay,4,,3
0.052600065839718664,0.010859782831480218,0.8312405837483912,0.011606761457252701,163870,1902,cancellation,online_DCSI,4,0.95,3
0.05171747911190594,0.010766714743402673,0.8347833412953376,0.011606761457252701,163870,1902,cancellation,online_relation_DCSI,4,0.95,3
0.3150544909742849,0.09013257785858463,0.7085672231123776,0.10794101971931071,168870,18228,long_arrival_delay,online_baseline,5,,3
0.3078264549120185,0.08762384515671606,0.7207687282688742,0.10794101971931071,168870,18228,long_arrival_delay,known_start_window,5,,3
0.29888136575785174,0.08490450879213496,0.7412509367740173,0.10794101971931071,168870,18228,long_arrival_delay,online_fixed_decay,5,,3
0.2989831952922093,0.08489021168829826,0.7403502172067024,0.10794101971931071,168870,18228,long_arrival_delay,online_DCSI,5,0.95,3
0.2968394878490576,0.08424219091396608,0.7444126551496891,0.10794101971931071,168870,18228,long_arrival_delay,online_relation_DCSI,5,0.95,3
0.06859020758052348,0.01344928967123119,0.7323798948872458,0.013773908924024398,168870,2326,cancellation,online_baseline,5,,3
0.06733620712094471,0.013465584896087015,0.7486936877373217,0.013773908924024398,168870,2326,cancellation,known_start_window,5,,3
0.06446057949405588,0.013709078443448389,0.8042084055550182,0.013773908924024398,168870,2326,cancellation,online_fixed_decay,5,,3
0.06505884502417753,0.013777740786172138,0.8014750705186257,0.013773908924024398,168870,2326,cancellation,online_DCSI,5,0.95,3
0.06418856246212196,0.013525135338778853,0.8055290318782105,0.013773908924024398,168870,2326,cancellation,online_relation_DCSI,5,0.95,3
0.3656919346940364,0.10809309162414353,0.6683392459345223,0.12797948838854178,169660,21713,long_arrival_delay,online_baseline,6,,3
0.359957628949579,0.10602130727452055,0.6847215261190895,0.12797948838854178,169660,21713,long_arrival_delay,known_start_window,6,,3
0.3532858346241381,0.10411575926002753,0.7056669801745523,0.12797948838854178,169660,21713,long_arrival_delay,online_fixed_decay,6,,3
0.35384095260575726,0.10425089014734591,0.7040143916827104,0.12797948838854178,169660,21713,long_arrival_delay,online_DCSI,6,0.9,3
0.35110004824187363,0.10335801055742122,0.7083979181521073,0.12797948838854178,169660,21713,long_arrival_delay,online_relation_DCSI,6,0.9,3
0.09479741994788127,0.019063911605396215,0.6428874036612744,0.019491925026523634,169660,3307,cancellation,online_baseline,6,,3
0.09222737502070989,0.018773015428548798,0.6687158810141042,0.019491925026523634,169660,3307,cancellation,known_start_window,6,,3
0.08440172876235905,0.01828324880583649,0.7803896794668685,0.019491925026523634,169660,3307,cancellation,online_fixed_decay,6,,3
0.08466369517705691,0.018305012080015396,0.7762276966302896,0.019491925026523634,169660,3307,cancellation,online_DCSI,6,0.9,3
0.08379579811280591,0.01822449569561145,0.7828733079950388,0.019491925026523634,169660,3307,cancellation,online_relation_DCSI,6,0.9,3
0.3750070786279712,0.11165821015952081,0.6865923627237701,0.13338015325974298,176563,23550,long_arrival_delay,online_baseline,7,,3
0.3671181143893836,0.10873944058739796,0.698918073139311,0.13338015325974298,176563,23550,long_arrival_delay,known_start_window,7,,3
0.36597440950226384,0.10871003407807403,0.6987045939215883,0.13338015325974298,176563,23550,long_arrival_delay,online_fixed_decay,7,,3
0.36587571107974476,0.10867664964327589,0.6971261212655523,0.13338015325974298,176563,23550,long_arrival_delay,online_DCSI,7,0.95,3
0.3623214313610962,0.10721000754305707,0.7006055922173494,0.13338015325974298,176563,23550,long_arrival_delay,online_relation_DCSI,7,0.95,3
0.13551777834698225,0.02791009093893626,0.6626026901926066,0.028624343718672656,176563,5054,cancellation,online_baseline,7,,3
0.1279027418724196,0.027234168561696352,0.6967649934036142,0.028624343718672656,176563,5054,cancellation,known_start_window,7,,3
0.11756903761093157,0.02614016571808105,0.7658300084524287,0.028624343718672656,176563,5054,cancellation,online_fixed_decay,7,,3
0.11664961734181109,0.026186400486992233,0.7702967066861565,0.028624343718672656,176563,5054,cancellation,online_DCSI,7,0.95,3
0.11664252062776484,0.02630020945329246,0.772253899009242,0.028624343718672656,176563,5054,cancellation,online_relation_DCSI,7,0.95,3
0.30180958177631745,0.08407354961223153,0.6644459689014447,0.09579846633816369,171485,16428,long_arrival_delay,online_baseline,8,,3
0.29587678315387655,0.08228637937934788,0.679237686855243,0.09579846633816369,171485,16428,long_arrival_delay,known_start_window,8,,3
0.2922356904251613,0.08150287586814589,0.6934822778846964,0.09579846633816369,171485,16428,long_arrival_delay,online_fixed_decay,8,,3
0.2927242098506732,0.08163597414740843,0.6921522796931692,0.09579846633816369,171485,16428,long_arrival_delay,online_DCSI,8,0.95,3
0.29068938530437194,0.08095273239511457,0.695592426594291,0.09579846633816369,171485,16428,long_arrival_delay,online_relation_DCSI,8,0.95,3
0.07529191359451763,0.014758674825471874,0.6759100436189901,0.015109193223897133,171485,2591,cancellation,online_baseline,8,,3
0.0714511358857548,0.014400402004893894,0.7177797275755625,0.015109193223897133,171485,2591,cancellation,known_start_window,8,,3
0.06678249181972182,0.013951517215620476,0.7677363843139459,0.015109193223897133,171485,2591,cancellation,online_fixed_decay,8,,3
0.06720006003707152,0.01401321108339336,0.7665549998161124,0.015109193223897133,171485,2591,cancellation,online_DCSI,8,0.95,3
0.06673483159150706,0.013979272009645478,0.772864838771691,0.015109193223897133,171485,2591,cancellation,online_relation_DCSI,8,0.95,3
0.22907108890684266,0.0577826679720774,0.6644466525641948,0.061236300723114694,164151,10052,long_arrival_delay,online_baseline,9,,3
0.22444459875287764,0.05666450712881939,0.675115253865191,0.061236300723114694,164151,10052,long_arrival_delay,known_start_window,9,,3
0.2201462398729204,0.056117332666655445,0.6888568379462067,0.061236300723114694,164151,10052,long_arrival_delay,online_fixed_decay,9,,3
0.22015660818753846,0.056149013570789365,0.6881746211273678,0.061236300723114694,164151,10052,long_arrival_delay,online_DCSI,9,0.95,3
0.21802182853065694,0.05552884053962507,0.6912825192657388,0.061236300723114694,164151,10052,long_arrival_delay,online_relation_DCSI,9,0.95,3
0.04082808100545483,0.0064799733714345185,0.7610901530953673,0.006335629999208046,164151,1040,cancellation,online_baseline,9,,3
0.037627876838191875,0.006210781961133214,0.7875716123942025,0.006335629999208046,164151,1040,cancellation,known_start_window,9,,3
0.03392916024373036,0.006076289467420707,0.8232192695111352,0.006335629999208046,164151,1040,cancellation,online_fixed_decay,9,,3
0.034137400074758635,0.006145131283554734,0.820745381979143,0.006335629999208046,164151,1040,cancellation,online_DCSI,9,0.95,3
0.03366926875442894,0.00606967551906445,0.8217420487134056,0.006335629999208046,164151,1040,cancellation,online_relation_DCSI,9,0.95,3
0.24276165864610902,0.06314081938756208,0.6720201661069088,0.06967786312048607,174460,12156,long_arrival_delay,online_baseline,10,,3
0.24103045320351774,0.06290488198264856,0.6788983460681812,0.06967786312048607,174460,12156,long_arrival_delay,known_start_window,10,,3
0.2373580146933139,0.062147667814227335,0.6913244638042234,0.06967786312048607,174460,12156,long_arrival_delay,online_fixed_decay,10,,3
0.23753677557529576,0.062207028762536996,0.689977065987279,0.06967786312048607,174460,12156,long_arrival_delay,online_DCSI,10,0.95,3
0.23641925965840768,0.06194593428120242,0.6958366224398442,0.06967786312048607,174460,12156,long_arrival_delay,online_relation_DCSI,10,0.95,3
0.04332992331697255,0.006685664231102615,0.8029618748614016,0.006505789292674539,174460,1135,cancellation,online_baseline,10,,3
0.041599496150897385,0.006608520305663301,0.8061456521228041,0.006505789292674539,174460,1135,cancellation,known_start_window,10,,3
0.038242473941546826,0.0065019673365566445,0.8139429009315723,0.006505789292674539,174460,1135,cancellation,online_fixed_decay,10,,3
0.03820607603476816,0.006553799836632768,0.8131277939701015,0.006505789292674539,174460,1135,cancellation,online_DCSI,10,0.95,3
0.03836016293845921,0.006515876916786521,0.808436477270489,0.006505789292674539,174460,1135,cancellation,online_relation_DCSI,10,0.95,3
0.2844207593073259,0.07796790752439119,0.6740071474577101,0.08799069140792455,163290,14368,long_arrival_delay,online_baseline,11,,3
0.2776516073898559,0.0763651026039217,0.6965949695112513,0.08799069140792455,163290,14368,long_arrival_delay,known_start_window,11,,3
0.267317580536568,0.07396999431890673,0.7303298047364236,0.08799069140792455,163290,14368,long_arrival_delay,online_fixed_decay,11,,3
0.2677710891954138,0.07406202003783448,0.7286722666346105,0.08799069140792455,163290,14368,long_arrival_delay,online_DCSI,11,0.95,3
0.26422740342230205,0.07303000314688532,0.7334626245764326,0.08799069140792455,163290,14368,long_arrival_delay,online_relation_DCSI,11,0.95,3
0.13741645139178565,0.029678520153998744,0.6889732403798179,0.031122542715414293,163290,5082,cancellation,online_baseline,11,,3
0.1341812000136841,0.02899100990633232,0.6943543644395744,0.031122542715414293,163290,5082,cancellation,known_start_window,11,,3
0.12220288824279858,0.027561153599576622,0.7548533521575053,0.031122542715414293,163290,5082,cancellation,online_fixed_decay,11,,3
0.12278450715062318,0.027740356184893702,0.7563247648306846,0.031122542715414293,163290,5082,cancellation,online_DCSI,11,0.95,3
0.12202644260193285,0.027594325067237597,0.7571239707580072,0.031122542715414293,163290,5082,cancellation,online_relation_DCSI,11,0.95,3
0.3468196058201609,0.09717024847268721,0.6511120941049297,0.11079082975311816,163398,18103,long_arrival_delay,online_baseline,12,,3
0.3427096874704828,0.09631412113403638,0.6639323121673817,0.11079082975311816,163398,18103,long_arrival_delay,known_start_window,12,,3
0.33259257416288046,0.09379105400680852,0.6867126561350533,0.11079082975311816,163398,18103,long_arrival_delay,online_fixed_decay,12,,3
0.3326428784269912,0.09387043134748001,0.6860717905399095,0.11079082975311816,163398,18103,long_arrival_delay,online_DCSI,12,0.95,3
0.33206425855037697,0.09362464669599227,0.6900311527646372,0.11079082975311816,163398,18103,long_arrival_delay,online_relation_DCSI,12,0.95,3
0.09152594946121084,0.018846073946384174,0.6963089943028258,0.019492282647278425,163398,3185,cancellation,online_baseline,12,,3
0.09164123690964425,0.019013318324540188,0.6966264700149324,0.019492282647278425,163398,3185,cancellation,known_start_window,12,,3
0.08937800363145729,0.018848206397732385,0.7173629991259379,0.019492282647278425,163398,3185,cancellation,online_fixed_decay,12,,3
0.08989958289413519,0.018913870460969758,0.7138920409536045,0.019492282647278425,163398,3185,cancellation,online_DCSI,12,0.95,3
0.09059937859660593,0.019001929043622887,0.7091999395898402,0.019492282647278425,163398,3185,cancellation,online_relation_DCSI,12,0.95,3
0.08256730850740501,0.01678443858878997,0.688037899051024,0.017504926240085723,1982242,34699,cancellation,known_start_window,all,,3
0.07695926137785784,0.016320043076567547,0.7629089699207954,0.017504926240085723,1982242,34699,cancellation,online_DCSI,all,fold_selected,3
0.08544662298175283,0.017051081769070768,0.6583535802278047,0.017504926240085723,1982242,34699,cancellation,online_baseline,all,,3
0.07673376779605999,0.016253998721652452,0.7606370996414168,0.017504926240085723,1982242,34699,cancellation,online_fixed_decay,all,,3
0.07663475371653376,0.01626601282900983,0.7648020805178287,0.017504926240085723,1982242,34699,cancellation,online_relation_DCSI,all,fold_selected,3
0.2877445190510075,0.07937997150744452,0.6790253645738105,0.09198271452224299,1982242,182332,long_arrival_delay,known_start_window,all,,3
0.282049124523943,0.0780601987347143,0.7016597840168745,0.09198271452224299,1982242,182332,long_arrival_delay,online_DCSI,all,fold_selected,3
0.2926216366491841,0.0807543619127892,0.6653740048527922,0.09198271452224299,1982242,182332,long_arrival_delay,online_baseline,all,,3
0.28191203754217986,0.07801891289124795,0.7018843852591731,0.09198271452224299,1982242,182332,long_arrival_delay,online_fixed_decay,all,,3
0.28005354706589547,0.07745122005776511,0.7056595887299966,0.09198271452224299,1982242,182332,long_arrival_delay,online_relation_DCSI,all,fold_selected,3
0.25374538025998183,0.06564224249014104,0.6103141694393301,0.0709222041765127,129917,9214,long_arrival_delay,online_baseline,1,,6
0.251686673981704,0.06523085589810242,0.6163535913290233,0.0709222041765127,129917,9214,long_arrival_delay,known_start_window,1,,6
0.24745883251421408,0.06443542542844584,0.6384877380517497,0.0709222041765127,129917,9214,long_arrival_delay,online_fixed_decay,1,,6
0.2473540026761533,0.06439410951825296,0.6386609194671917,0.0709222041765127,129917,9214,long_arrival_delay,online_DCSI,1,0.95,6
0.24675095727227722,0.06429584101808346,0.6402141294128031,0.0709222041765127,129917,9214,long_arrival_delay,online_relation_DCSI,1,0.95,6
0.1442405791326621,0.031003741674675383,0.6734359917840892,0.032428396591670065,129917,4213,cancellation,online_baseline,1,,6
0.13955936373912067,0.03042161895540696,0.6941810875197882,0.032428396591670065,129917,4213,cancellation,known_start_window,1,,6
0.13414150988405404,0.029682548386310282,0.7170514555920887,0.032428396591670065,129917,4213,cancellation,online_fixed_decay,1,,6
0.1344361313062763,0.02976574443696532,0.7178854936328293,0.032428396591670065,129917,4213,cancellation,online_DCSI,1,0.95,6
